OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
189167,WN,Southwest Airlines Co.,D,2021,4
189250.13,UA,United Air Lines Inc.,A,2012,2
189266,AA,American Airlines Inc.,L,2011,1
189750,AS,Alaska Airlines Inc.,D,2022,3
189839.28,UA,United Air Lines Inc.,P,2016,3
192443.89,UA,United Air Lines Inc.,D,2011,2
192652.89,UA,United Air Lines Inc.,A,2019,4
193457.65,AA,American Airlines Inc.,L,2018,4
194572,AA,American Airlines Inc.,L,2012,3
194620,AA,American Airlines Inc.,A,2014,3
194809.94,UA,United Air Lines Inc.,A,2011,3
195176,WN,Southwest Airlines Co.,D,2011,2
195481.59,B6,JetBlue Airways,D,2019,4
196132,AA,American Airlines Inc.,L,2013,1
198246.9,UA,United Air Lines Inc.,D,2018,1
198532,AA,American Airlines Inc.,L,2012,1
198639.8,UA,United Air Lines Inc.,P,2022,4
202730,DL,Delta Air Lines Inc.,A,2018,1
203215,DL,Delta Air Lines Inc.,P,2016,3
203495,DL,Delta Air Lines Inc.,A,2016,1
205501.3,AA,American Airlines Inc.,L,2022,3
205782.62,B6,JetBlue Airways,D,2015,2
205845,DL,Delta Air Lines Inc.,P,2014,3
206482.67,UA,United Air Lines Inc.,P,2012,3
206622.49,UA,United Air Lines Inc.,P,2014,3
206813,WN,Southwest Airlines Co.,D,2011,3
207458.5,UA,United Air Lines Inc.,D,2011,3
208028.88,UA,United Air Lines Inc.,A,2016,2
208062.9,B6,JetBlue Airways,D,2015,3
208399.85,UA,United Air Lines Inc.,A,2015,1
208686,AS,Alaska Airlines Inc.,D,2017,1
210004,DL,Delta Air Lines Inc.,A,2013,4
211467,DL,Delta Air Lines Inc.,A,2017,4
212335,WN,Southwest Airlines Co.,D,2014,1
213610,AS,Alaska Airlines Inc.,D,2011,3
214960,DL,Delta Air Lines Inc.,A,2019,1
215531,WN,Southwest Airlines Co.,D,2010,4
216954.85,B6,JetBlue Airways,D,2016,3
219790.35,B6,JetBlue Airways,D,2016,4
220318.1,UA,United Air Lines Inc.,A,2013,3
220832,AS,Alaska Airlines Inc.,D,2021,3
221111,DL,Delta Air Lines Inc.,A,2015,1
222280.99,UA,United Air Lines Inc.,A,2016,4
223669.34,B6,JetBlue Airways,D,2019,2
224570.47,UA,United Air Lines Inc.,A,2017,3
224839.6,AA,American Airlines Inc.,L,2018,3
226663.6,AA,American Airlines Inc.,L,2018,2
228462,UA,United Air Lines Inc.,D,2010,2
228805,AS,Alaska Airlines Inc.,D,2015,1
228827.99,AA,American Airlines Inc.,L,2017,3
230088,AS,Alaska Airlines Inc.,D,2012,3
231466.93,AA,American Airlines Inc.,L,2019,1
232637,AS,Alaska Airlines Inc.,D,2014,4
233675,DL,Delta Air Lines Inc.,D,2010,1
233933.59,B6,JetBlue Airways,D,2015,4
237552.81,B6,JetBlue Airways,D,2016,1
238578,AS,Alaska Airlines Inc.,D,2019,4
240108,UA,United Air Lines Inc.,D,2010,3
241696,DL,Delta Air Lines Inc.,P,2015,2
242532.3,AA,American Airlines Inc.,L,2015,3
243206.11,UA,United Air Lines Inc.,P,2015,3
244122.63,AA,American Airlines Inc.,L,2019,2
249585,AS,Alaska Airlines Inc.,D,2014,2
249811,AA,American Airlines Inc.,L,2011,3
250506,AA,American Airlines Inc.,D,2013,2
251656.5,B6,JetBlue Airways,D,2017,2
252202.2,B6,JetBlue Airways,D,2016,2
252914,AS,Alaska Airlines Inc.,D,2015,4
253943.24,UA,United Air Lines Inc.,D,2012,2
254131,DL,Delta Air Lines Inc.,A,2022,2
254762,DL,Delta Air Lines Inc.,A,2018,4
255546,AA,American Airlines Inc.,D,2013,3
257195,AA,American Airlines Inc.,L,2014,1
259162,AS,Alaska Airlines Inc.,D,2018,2
262550,DL,Delta Air Lines Inc.,A,2019,4
267339,DL,Delta Air Lines Inc.,D,2011,1
269124.93,AA,American Airlines Inc.,A,2015,3
270189,DL,Delta Air Lines Inc.,P,2015,3
276525,AA,American Airlines Inc.,L,2013,4
276587.2,AA,American Airlines Inc.,L,2019,3
276652.42,UA,United Air Lines Inc.,A,2017,2
277517,DL,Delta Air Lines Inc.,D,2021,4
279394,DL,Delta Air Lines Inc.,A,2013,2
282529.71,AA,American Airlines Inc.,D,2019,1
